zip_code,Total Population (2020-2024),People Below Poverty Level (2020-2024),Median Household Income (2020-2024),Poor Mental Health Among Adults (2023),Obesity Among Adults (2023),No Leisure-Time Physical Activity Among Adults (2023),Life Expectancy at Birth (2010-2015),Primary Care Physician Ratio (2025),Primary Care Nurse Practitioner Ratio (2025),Child Care Centers (2023),People without Health Insurance (2020-2024),People with Health Insurance (2020-2024),Mental Health Providers (2025),Number of Parks (2018),Percent Area Covered by Parks (2018),Park Area (acres) (2018),People 1 Miles Urban/10 Miles Rural with Low Access to Healthy Food (2019),People 1 Mile Urban/20 Miles Rural with Low Access to Healthy Food (2019),Low Income People (USDA) (2019),Social Vulnerability Index Within the State (2022),Social Vulnerability Index Highly Vulnerable Factors Within the State (2022),Environmental Hazard Community Resilience Score (2025),Environmental Hazard Expected Annual Loss Total (2025),Social Vulnerability to Environmental Hazards (2024),poverty_rate,uninsured_rate,food_low_access_pct
32202,6023,1400,34825.0,25.3,47.5,45.4,73.0944,354.29,463.31,3,678,2819,33,14.0,3.13,58.62,54.0,54.0,2127,0.9311,7.0,49.78,3447393.751,0.5672,0.23244230449941888,0.11256848746471858,0.008965631744977587
32204,9151,1733,65063.0,19.1,35.0,29.4,75.5328,84.73,65.36,5,1009,7638,83,14.0,1.68,45.36,1222.0,1222.0,3147,0.6444,2.0,49.78,4758411.616,0.5139,0.18937821003169053,0.11026117364222489,0.13353731832586602
32205,29148,4540,64789.0,18.9,33.7,25.4,74.2022,1324.91,1267.3,11,2771,26158,34,26.0,2.02,120.88,4888.0,4888.0,11875,0.5961,0.0,49.78,8929993.683,0.3958,0.15575682722656786,0.09506655688211885,0.16769589680252506
32206,17105,5534,39242.0,22.4,46.3,40.9,70.7455,814.52,1140.33,17,1975,15030,21,26.0,2.9,141.96,4805.0,4805.0,10411,0.9496,5.0,49.78,5788515.453,0.4812,0.32353113124817307,0.11546331482022801,0.2809120140309851
32207,36998,4763,65234.0,17.6,33.3,27.1,76.0689,93.67,145.09,13,3607,33171,472,42.0,1.77,183.38,8675.0,8675.0,15060,0.7708,1.0,49.78,12075938.77,0.3883,0.128736688469647,0.09749175631115195,0.2344721336288448
32208,32699,9199,41324.0,21.3,45.7,40.7,70.8223,990.88,1816.61,18,3861,28683,72,30.0,3.4,293.58,8639.0,8639.0,16377,0.8952,4.0,49.78,8315990.557,0.4757,0.2813235878773051,0.11807700541300957,0.2641976818862962
32209,34657,13032,30514.0,22.8,48.0,44.0,68.6554,219.35,380.85,19,4335,30228,54,24.0,1.99,119.47,5529.0,5529.0,22855,0.9424,6.0,49.78,9701901.985,0.5425,0.3760279308653374,0.12508295582422022,0.15953487030037222
32210,65729,10833,61050.0,20.0,37.4,31.4,74.939,1776.46,1195.07,26,8712,56524,95,31.0,2.26,371.4,15446.0,15446.0,26088,0.8428,1.0,49.78,16225582.07,0.4258,0.16481309619802523,0.13254423466049994,0.23499520759482115
32211,36762,8301,57021.0,20.6,38.6,32.9,75.2916,1185.87,875.29,11,4576,31595,69,14.0,2.09,121.65,5451.0,5451.0,15339,0.8859,1.0,49.78,6313572.13,0.4169,0.22580381916109027,0.12447636146020347,0.14827811326913662
32212,1939,137,51422.0,24.1,28.6,22.5,77.2,149.15,969.5,0,0,460,4,0.0,0.0,0.0,1667.0,1667.0,475,0.0966,2.0,49.78,519762.9466,,0.07065497679216091,0.0,0.8597215059308922
32216,42298,7234,61821.0,18.2,33.0,27.1,77.231,241.7,214.71,14,5237,35893,237,14.0,2.94,245.34,5349.0,5349.0,14350,0.7934,0.0,49.78,9326675.328,0.4107,0.1710246347345028,0.12381200056740271,0.12645987989975885
